,Image,detected_class,detected_pix_len,gt_class,gt_pix_len,Whale,Flight,Total Altitude,Focal length (mm),Pixel size,Pixel Length,Total Length (m),Estimated % Error,Notes,detected_len,gt_len
0,DSC03331.JPG,1,622.7598631900325,1,657.9520612994761,Bm170814-50,18,74.5408,5,0.00039166699999999995,3845.8759999999997,22.46,0.74%,,21.306540255022348,22.51057415316195
1,DSC00724.JPG,3,598.0684583698466,3,613.0993828525957,Mn_066_F26_15,26,45.29,5,0.00039166699999999995,3574.909,12.68,,,12.432300253912356,12.744754394651979
2,DSC00605.JPG,3,526.5481879529225,3,531.5429053483721,Mn_066_F25_13,25,55.14,5,0.00039166699999999995,3128.722,13.51,,,13.326102678610528,13.452511084118807
3,DSC00476.JPG,3,750.8088039359816,3,763.4101110329866,Mn_066_F23_11,23,28.79,5,0.00039166699999999995,4472.323,10.08,,,9.92131622559876,10.087832057472156
4,DSC09869.JPG,3,578.5515151521365,3,592.5763072190377,Mn_066_F18_07,18,43.05,5,0.00039166699999999995,3443.0809999999997,11.61,,,11.431769574695158,11.708889566680085
5,DSC09595.JPG,3,532.4152472417097,3,549.4023459228044,Mn_066_F17_03,17,49.8,5,0.00039166699999999995,3235.3990000000003,12.62,,,12.169650276026543,12.557931887464738
6,DSC09573.JPG,3,459.5746309330205,3,459.4135931454819,Mn_066_F17_02,17,50.15,5,0.00039166699999999995,2686.013,10.55,,,10.57852837643931,10.574821594797129
7,DSC03206.JPG,1,624.3316361676284,1,645.8993713237033,Bm170814-40,18,74.3608,5,0.00039166699999999995,3838.4959999999996,22.36,0.74%,,21.30873490016098,22.044851931901928
8,DSC03182.JPG,1,502.24589159069546,1,506.70102985278544,Bm170814-51,17,87.2956,5,0.00039166699999999995,2969.25,20.3,0.74%,,20.12366217860995,20.302167764910223
9,DSC02689.JPG,1,658.0622354619402,1,676.9482217666599,Bm170813-44,14,72.01,5,0.00039166699999999995,3993.84,22.53,0.04%,,21.74993935094078,22.374149394572903
10,DSC03868.JPG,1,777.8213107536865,1,793.2747820778626,Bm170815-21,21,61.62,5,0.00039166699999999995,4671.276,22.55,0.04%,,21.998841094728007,22.43590608037757
11,DSC03795.JPG,1,603.1873512627516,1,615.1178489202099,Bm170815-43,20,75.83,5,0.00039166699999999995,3642.993,21.64,0.04%,,20.993824036736644,21.409062797906017
12,DSC03665.JPG,1,616.6830127922149,1,621.8246545905215,Bm170815-31,20,76.42,5,0.00039166699999999995,3698.421,22.14,0.04%,,21.630536420341244,21.810882672583627
13,DSC03996.JPG,1,534.3752312400617,1,550.4014732794964,Bm170815-28,22,83.6076,5,0.00039166699999999995,3215.155,21.06,0.74%,,20.506443598967504,21.121444462167002
14,DSC04110.JPG,1,531.2729868780352,1,537.1349501046476,Bm20170816-UnID1,23,86.8476,5,0.00039166699999999995,3139.429,21.36,0.74%,,21.17745787876201,21.411125846802204
15,DSC04067.JPG,1,555.3979700877663,1,565.3546900322009,Bm170816-51,23,87.9376,5,0.00039166699999999995,3328.717,22.93,0.74%,,22.416983268856534,22.818856585699606
16,DSC04331.JPG,1,537.2568576239005,1,538.907216316107,Bm20170816-UnID2,24,85.8976,5,0.00039166699999999995,3151.8720000000003,21.21,0.74%,,21.181722213617377,21.24678874348123
17,DSC04216.JPG,1,599.7238806896054,1,608.5835015473156,Bm170816-41,24,86.1176,5,0.00039166699999999995,3575.5640000000003,24.12,0.74%,,23.70508579542952,24.055277073965073
18,DSC04471.JPG,1,568.0437949495694,1,580.1249316559248,Bm170816-42,25,91.6076,5,0.00039166699999999995,3404.188,24.43,0.74%,,23.88424934321867,24.392218770945142
19,DSC04475.JPG,1,515.1912157167601,1,529.9678784077058,Bm170816-27,25,90.7876,5,0.00039166699999999995,3074.8740000000003,21.87,0.74%,,21.46808251632115,22.08382790228183
20,DSC04565.JPG,1,559.0356378632853,1,550.9899727202069,Bm170816-44,26,85.0376,5,0.00039166699999999995,3248.325,21.64,0.74%,,21.819699244189596,21.505669186441533
21,DSC04596.JPG,1,580.1816924095419,1,584.2892622212964,Bm170816-23,26,84.5076,5,0.00039166699999999995,3467.5170000000003,22.95,0.74%,,22.503913998979684,22.663237188590568
22,DSC04578.JPG,1,534.3387423099721,1,551.3283084819245,Bm20170816-UnID3,26,85.2776,5,0.00039166699999999995,3270.3590000000004,21.85,0.74%,,20.914616432148694,21.579607067674925
23,DSC00429.JPG,5,164.01520838458677,5,171.075923420312,Bb18_066_001,22,82.54,5,0.00039166699999999995,1011.171,6.54,,,6.213650982574318,6.481143365454674
24,DSC09175.JPG,5,384.83365246571077,5,395.17199307920197,Bb18_063_007,12,46.75,5,0.00039166699999999995,2318.574,8.49,,,8.25758264178919,8.47941797621976
25,DSC09070.JPG,5,232.81530629264006,5,240.6864982665036,Bb18_063_004-45,10,77.5,5,0.00039166699999999995,3094.603,8.62,,,8.281547606429598,8.561536289686366
26,DSC09056.JPG,5,253.39861895422447,5,266.99433554636215,Bb18_063_003,10,77.95,5,0.00039166699999999995,1566.7020000000002,9.57,,,9.066060941684944,9.552486620241872
27,DSC09026.JPG,5,234.19859193313738,5,238.31674502753074,Bb18_063_002,10,74.0,5,0.00039166699999999995,1403.963,8.14,,,7.954525351282069,8.094397896712081
28,DSC09223.JPG,5,312.0560672634285,5,332.3400263435788,Bb18_063_008,12,47.95,5,0.00039166699999999995,1970.8220000000001,7.4,,,6.8678296339039315,7.314245486302509
