,Image,detected_class,detected_pix_len,gt_class,gt_pix_len,detection_score,Whale,Flight,Total Altitude,Focal length (mm),Pixel size,Pixel Length,Total Length (m),Estimated % Error,Notes,detected_len,gt_len
5,DSC09595.JPG,3,524.2155613,3,549.4023459,0.999920607,Mn_066_F17_03,17,49.8,5,0.000391667,3235.399,12.62,,,11.98222643,12.55793189
1,DSC00724.JPG,3,595.0217241,3,613.0993829,0.999714673,Mn_066_F26_15,26,45.29,5,0.000391667,3574.909,12.68,,,12.36896651,12.74475439
49,DSC02035.JPG,3,357.0069017,3,362.0687843,0.995855153,Mn20170810-UnID4,11,78.2354,5,0.000391667,2088.288,12.8,0.04%,,12.81970969,13.0014761
42,DSC04723.JPG,3,410.8247375,3,403.5218951,0.997071743,Mn170817-50,28,70.46,5,0.000391667,2344.279,12.94,0.04%,,13.28609936,13.04992496
2,DSC00605.JPG,3,525.4206955,3,531.5429053,0.999859571,Mn_066_F25_13,25,55.14,5,0.000391667,3128.722,13.51,,,13.29756763,13.45251108
8,DSC03182.JPG,1,494.3631572,1,506.7010299,0.999825418,Bm170814-51,17,87.2956,5,0.000391667,2969.25,20.3,0.74%,,19.80782189,20.30216776
13,DSC03996.JPG,1,534.5857589,1,550.4014733,0.999626875,Bm170815-28,22,83.6076,5,0.000391667,3215.155,21.06,0.74%,,20.51452252,21.12144446
16,DSC04331.JPG,1,533.3112444,1,538.9072163,0.99965167,Bm20170816-UnID2,24,85.8976,5,0.000391667,3151.872,21.21,0.74%,,21.02616369,21.24678874
14,DSC04110.JPG,1,526.2442336,1,537.1349501,0.999662519,Bm20170816-UnID1,23,86.8476,5,0.000391667,3139.429,21.36,0.74%,,20.9770031,21.41112585
11,DSC03795.JPG,1,606.1195415,1,615.1178489,0.999492407,Bm170815-43,20,75.83,5,0.000391667,3642.993,21.64,0.04%,,21.09587838,21.4090628
20,DSC04565.JPG,1,495.5864408,1,550.9899727,0.999970317,Bm170816-44,26,85.0376,5,0.000391667,3248.325,21.64,0.74%,,19.34321599,21.50566919
22,DSC04578.JPG,1,536.3739127,1,551.3283085,0.999823987,Bm20170816-UnID3,26,85.2776,5,0.000391667,3270.359,21.85,0.74%,,20.99427528,21.57960707
19,DSC04475.JPG,1,517.9295109,1,529.9678784,0.998959064,Bm170816-27,25,90.7876,5,0.000391667,3074.874,21.87,0.74%,,21.58218762,22.0838279
12,DSC03665.JPG,1,615.9399106,1,621.8246546,0.999863267,Bm170815-31,20,76.42,5,0.000391667,3698.421,22.14,0.04%,,21.60447165,21.81088267
7,DSC03206.JPG,1,636.9591732,1,645.8993713,0.997334242,Bm170814-40,18,74.3608,5,0.000391667,3838.496,22.36,0.74%,,21.73971873,22.04485193
0,DSC03331.JPG,1,640.3459945,1,657.9520613,0.999911427,Bm170814-50,18,74.5408,5,0.000391667,3845.876,22.46,0.74%,,21.90821618,22.51057415
9,DSC02689.JPG,1,655.1929351,1,676.9482218,0.999572217,Bm170813-44,14,72.01,5,0.000391667,3993.84,22.53,0.04%,,21.65510469,22.37414939
10,DSC03868.JPG,1,773.4531616,1,793.2747821,0.999937773,Bm170815-21,21,61.62,5,0.000391667,4671.276,22.55,0.04%,,21.8752983,22.43590608
15,DSC04067.JPG,1,561.432087,1,565.35469,0.999203384,Bm170816-51,23,87.9376,5,0.000391667,3328.717,22.93,0.74%,,22.66053241,22.81885659
21,DSC04596.JPG,1,574.4744082,1,584.2892622,0.999947667,Bm170816-23,26,84.5076,5,0.000391667,3467.517,22.95,0.74%,,22.28254157,22.66323719
17,DSC04216.JPG,1,598.9497665,1,608.5835015,0.999623775,Bm170816-41,24,86.1176,5,0.000391667,3575.564,24.12,0.74%,,23.67448764,24.05527707
18,DSC04471.JPG,1,571.0716965,1,580.1249317,0.999757349,Bm170816-42,25,91.6076,5,0.000391667,3404.188,24.43,0.74%,,24.01156198,24.39221877
