,Image,detected_class,detected_pix_len,gt_class,gt_pix_len,Whale,Flight,Total Altitude,Focal length (mm),Pixel size,Pixel Length,Total Length (m),Estimated % Error,Notes,detected_len,gt_len
0,DSC02689.JPG,1,658.8375972553118,1,676.9482217666599,Bm170813-44,14,72.01,5,0.00039166699999999995,3993.84,22.53,0.04%,,21.775566215805668,22.374149394572903
1,DSC03182.JPG,1,502.5882947264994,1,506.70102985278544,Bm170814-51,17,87.2956,5,0.00039166699999999995,2969.25,20.3,0.74%,,20.137381365066595,20.302167764910223
2,DSC03206.JPG,1,620.4239204305343,1,645.8993713237033,Bm170814-40,18,74.3608,5,0.00039166699999999995,3838.4959999999996,22.36,0.74%,,21.175362708391145,22.044851931901928
3,DSC03331.JPG,1,620.9434989275281,1,657.9520612994761,Bm170814-50,18,74.5408,5,0.00039166699999999995,3845.8759999999997,22.46,0.74%,,21.244396818098533,22.51057415316195
4,DSC03665.JPG,1,615.6841617886469,1,621.8246545905215,Bm170815-31,20,76.42,5,0.00039166699999999995,3698.421,22.14,0.04%,,21.595501106309566,21.810882672583627
5,DSC03795.JPG,1,605.1627823555862,1,615.1178489202099,Bm170815-43,20,75.83,5,0.00039166699999999995,3642.993,21.64,0.04%,,21.06257855002816,21.409062797906017
6,DSC03868.JPG,1,776.4398899434383,1,793.2747820778626,Bm170815-21,21,61.62,5,0.00039166699999999995,4671.276,22.55,0.04%,,21.95977086552568,22.43590608037757
7,DSC03996.JPG,1,531.3773945965559,1,550.4014732794964,Bm170815-28,22,83.6076,5,0.00039166699999999995,3215.155,21.06,0.74%,,20.391402772868002,21.121444462167002
8,DSC04067.JPG,1,553.3994685315223,1,565.3546900322009,Bm170816-51,23,87.9376,5,0.00039166699999999995,3328.717,22.93,0.74%,,22.336319711620224,22.818856585699606
9,DSC04110.JPG,1,531.2729051378082,1,537.1349501046476,Bm20170816-UnID1,23,86.8476,5,0.00039166699999999995,3139.429,21.36,0.74%,,21.17745462045553,21.411125846802204
10,DSC04216.JPG,1,598.9497600843713,1,608.5835015473156,Bm170816-41,24,86.1176,5,0.00039166699999999995,3575.5640000000003,24.12,0.74%,,23.674487388472667,24.055277073965073
11,DSC04331.JPG,1,535.2839386322318,1,538.907216316107,Bm20170816-UnID2,24,85.8976,5,0.00039166699999999995,3151.8720000000003,21.21,0.74%,,21.103938521443915,21.24678874348123
12,DSC04471.JPG,1,569.0569286548647,1,580.1249316559248,Bm170816-42,25,91.6076,5,0.00039166699999999995,3404.188,24.43,0.74%,,23.926848062279475,24.392218770945142
13,DSC04475.JPG,1,512.065332814505,1,529.9678784077058,Bm170816-27,25,90.7876,5,0.00039166699999999995,3074.8740000000003,21.87,0.74%,,21.337826584087125,22.08382790228183
14,DSC04565.JPG,1,543.8216548331048,1,550.9899727202069,Bm170816-44,26,85.0376,5,0.00039166699999999995,3248.325,21.64,0.74%,,21.22588283689657,21.505669186441533
15,DSC04578.JPG,1,539.335626610588,1,551.3283084819245,Bm20170816-UnID3,26,85.2776,5,0.00039166699999999995,3270.3590000000004,21.85,0.74%,,21.110200076432868,21.579607067674925
16,DSC04596.JPG,1,581.6957722088734,1,584.2892622212964,Bm170816-23,26,84.5076,5,0.00039166699999999995,3467.5170000000003,22.95,0.74%,,22.562641673495303,22.663237188590568
